time,q0,q1,q2,q3,omega_x,omega_y,omega_z,Total_torque_x,Total_torque_y,Total_torque_z
3180.0,0.9999999439243409,0.000334890004510017,-6.580345985693954e-09,-5.300420987328167e-10,9.634701763997684e-09,1.127082603537093e-12,1.6480550175238118e-11,-0.0001002062047365455,-7.859792123207699e-11,-7.859792123207699e-11
3181.0,0.9999999439227422,0.00033489477857668156,-6.579795858767063e-09,-5.218125360575792e-10,9.461565965051003e-09,1.084459053731365e-12,1.6436836088404478e-11,-0.00010015589456064879,-7.860469968658976e-11,-7.860469968658976e-11
3182.0,0.9999999439211688,0.00033489947663594116,-6.5792670371732995e-09,-5.136048390046045e-10,9.330672127394595e-09,1.0418318270153168e-12,1.6393118231780452e-11,-0.00010020439428981493,-7.860574927740815e-11,-7.860574927740815e-11
3183.0,0.9999999439196207,0.00033490409906782243,-6.578759521974818e-09,-5.054190086601414e-10,9.159056434854778e-09,9.992040301565653e-13,1.6349399791603273e-11,-0.00010022795876159335,-7.860265395683777e-11,-7.860265395683777e-11
3184.0,0.999999943918103,0.00033490863074549986,-6.5782733128877425e-09,-4.97255044839126e-10,8.96765529161939e-09,9.565779107795875e-13,1.630568307316901e-11,-0.0001002487811361457,-7.860049162755321e-11,-7.860049162755321e-11
3185.0,0.9999999439166188,0.00033491306235183577,-6.577808409196098e-09,-4.891129468715179e-10,8.75877104632494e-09,9.139529628291574e-13,1.6261967557573317e-11,-0.0001002029265898258,-7.86045979341145e-11,-7.86045979341145e-11
3186.0,0.9999999439151663,0.00033491739914127397,-6.577364811167198e-09,-4.809927149930874e-10,8.588387679552656e-09,8.713257868900056e-13,1.6218249758357364e-11,-0.0001001902916663562,-7.86008521514827e-11,-7.86008521514827e-11
3187.0,0.9999999439137415,0.00033492165339120037,-6.576942518857032e-09,-4.728943491731803e-10,8.428612980680955e-09,8.287006412813955e-13,1.6174534042631797e-11,-0.00010020366740234903,-7.859901347672197e-11,-7.859901347672197e-11
3188.0,0.9999999439123444,0.0003349258249461128,-6.576541531509762e-09,-4.6481784863604813e-10,8.25760760507304e-09,7.860764917830978e-13,1.6130819349708654e-11,-0.00010018813913066512,-7.860224661761408e-11,-7.860224661761408e-11
3189.0,0.9999999439109748,0.0003349299142578449,-6.576161849315653e-09,-4.5676321357264157e-10,8.09964024095456e-09,7.434505879623061e-13,1.6087102858773e-11,-0.00010022544629776419,-7.860376572081798e-11,-7.860376572081798e-11
3190.0,0.9999999439096342,0.0003349339167548404,-6.575803472917779e-09,-4.487304446739762e-10,7.910348639137445e-09,7.008238592969754e-13,1.604338552312447e-11,-0.00010022081543387008,-7.860321611017486e-11,-7.860321611017486e-11
3191.0,0.999999943908325,0.0003349378255780939,-6.575466402445585e-09,-4.4071954211997046e-10,7.724945252176841e-09,6.581974275818856e-13,1.5999668493324997e-11,-0.00010023432503359546,-7.860456446742914e-11,-7.860456446742914e-11
3192.0,0.9999999439070478,0.0003349416388638911,-6.575150638007729e-09,-4.3273050603394365e-10,7.528198792398961e-09,6.155702635360868e-13,1.5955950713770122e-11,-0.0001001906748963879,-7.860115280144149e-11,-7.860115280144149e-11
3193.0,0.9999999439058005,0.00033494536293896074,-6.574856179328512e-09,-4.247633360872851e-10,7.368102321880162e-09,5.729449485888971e-13,1.5912234831850173e-11,-0.00010020043011838546,-7.860263956682423e-11,-7.860263956682423e-11
